text,anger,fear,joy,love,sadness,surprise
"I was completely taken aback by the unexpected message and it left me speechless. while i find myself avoiding places because i'm scared something bad will happen again. Also, the small moments of warmth and laughter today filled me with a quiet joy.",0,1,1,0,0,1
"The sudden turn of events surprised me in a way I didn't expect and shook my plans. however, i'm genuinely frightened about the idea of walking home alone late at night after what happened. Also, a quiet sorrow has settled over me since the news and i can't seem to shake it off.",0,1,0,0,1,1
"I feel completely connected and tender toward them in a way that surprises me., but a quiet sorrow has settled over me since the news and i can't seem to shake it off., but hearing their good news made my whole week brighter and i felt genuinely happy. 😊❤️😢",0,0,1,1,1,0
"I feel completely connected and tender toward them in a way that surprises me. however, i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. Also, i was overwhelmed with happiness when my friends surprised me with that celebration. 😊❤️😢",0,0,1,1,1,0
Loving them makes even the hardest days feel bearable because of how they comfort me. while hearing their good news made my whole week brighter and i felt genuinely happy.,0,0,1,1,0,0
"The sudden turn of events surprised me in a way I didn't expect and shook my plans. and i'm genuinely frightened about the idea of walking home alone late at night after what happened., but i can't stop smiling thinking about the wonderful time we had together last night.",0,1,1,0,0,1
"My heart fills with affection whenever I remember our quiet conversations late at night. however, there was a lightness in my chest all day, like the world finally felt right. 😊❤️",0,0,1,1,0,0
"An unexpected confession left me stunned and I had to pause to process it. and i find myself avoiding places because i'm scared something bad will happen again. Also, hearing their good news made my whole week brighter and i felt genuinely happy. 😨😊😳",0,1,1,0,0,1
"A surprising twist in the evening turned everything upside down and I was caught off guard. however, i feel an uneasy panic whenever i think about facing that situation again. however, i can't stop smiling thinking about the wonderful time we had together last night.",0,1,1,0,0,1
"There is a warmth inside me every time I think about the kindness they show. however, a quiet sorrow has settled over me since the news and i can't seem to shake it off. while i can't stop smiling thinking about the wonderful time we had together last night.",0,0,1,1,1,0
"My heart fills with affection whenever I remember our quiet conversations late at night. however, i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. however, there was a lightness in my chest all day, like the world finally felt right. 😊❤️😢",0,0,1,1,1,0
"My heart fills with affection whenever I remember our quiet conversations late at night., but hearing their good news made my whole week brighter and i felt genuinely happy.",0,0,1,1,0,0
"The sudden turn of events surprised me in a way I didn't expect and shook my plans. Also, even in the crowd i felt empty, like a sadness that sat beside me all day. 😢😳",0,0,0,0,1,1
The uncertainty about the future keeps me awake and makes my heart race with fear. and the day felt heavy and every small thing reminded me of how lonely i've been feeling. while the sudden turn of events surprised me in a way i didn't expect and shook my plans. 😨😢😳,0,1,0,0,1,1
"An unexpected confession left me stunned and I had to pause to process it. and the uncertainty about the future keeps me awake and makes my heart race with fear., but i was overwhelmed with happiness when my friends surprised me with that celebration.",0,1,1,0,0,1
"There is a warmth inside me every time I think about the kindness they show. however, there was a lightness in my chest all day, like the world finally felt right., but i feel furious thinking about the way i was spoken to; it was humiliating and cruel.",1,0,1,1,0,0
"I was completely taken aback by the unexpected message and it left me speechless., but i feel an uneasy panic whenever i think about facing that situation again. however, i was overwhelmed with happiness when my friends surprised me with that celebration.",0,1,1,0,0,1
"I realized how deeply I care for them when they gently held my hand and didn't let go., but the day felt heavy and every small thing reminded me of how lonely i've been feeling. however, i can't stop smiling thinking about the wonderful time we had together last night. and it hurts me deeply when someone i trusted betrays me without a second thought.",1,0,1,1,1,0
"There is a warmth inside me every time I think about the kindness they show. and the day felt heavy and every small thing reminded me of how lonely i've been feeling., but i can't stop smiling thinking about the wonderful time we had together last night. while i feel furious thinking about the way i was spoken to; it was humiliating and cruel.",1,0,1,1,1,0
"I was completely taken aback by the unexpected message and it left me speechless., but the thought of losing my job terrifies me more than i can explain. while the small moments of warmth and laughter today filled me with a quiet joy. 😨😊😳",0,1,1,0,0,1
My heart fills with affection whenever I remember our quiet conversations late at night. and a quiet sorrow has settled over me since the news and i can't seem to shake it off. and i can't stop smiling thinking about the wonderful time we had together last night.,0,0,1,1,1,0
"My heart fills with affection whenever I remember our quiet conversations late at night. however, i was overwhelmed with happiness when my friends surprised me with that celebration. 😊❤️",0,0,1,1,0,0
An unexpected confession left me stunned and I had to pause to process it. and the thought of losing my job terrifies me more than i can explain.,0,1,0,0,0,1
"Loving them makes even the hardest days feel bearable because of how they comfort me. however, a quiet sorrow has settled over me since the news and i can't seem to shake it off. and i feel furious thinking about the way i was spoken to; it was humiliating and cruel.",1,0,0,1,1,0
"The sudden turn of events surprised me in a way I didn't expect and shook my plans. however, hearing their good news made my whole week brighter and i felt genuinely happy. Also, i am seething with anger at the injustice i had to witness today. 😤😊😳",1,0,1,0,0,1
"There is a warmth inside me every time I think about the kindness they show. and even in the crowd i felt empty, like a sadness that sat beside me all day. while there was a lightness in my chest all day, like the world finally felt right.",0,0,1,1,1,0
"The sudden turn of events surprised me in a way I didn't expect and shook my plans. however, the thought of losing my job terrifies me more than i can explain., but there was a lightness in my chest all day, like the world finally felt right.",0,1,1,0,0,1
I feel completely connected and tender toward them in a way that surprises me. and i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. while hearing their good news made my whole week brighter and i felt genuinely happy.,0,0,1,1,1,0
"I feel completely connected and tender toward them in a way that surprises me., but the day felt heavy and every small thing reminded me of how lonely i've been feeling., but i was overwhelmed with happiness when my friends surprised me with that celebration.",0,0,1,1,1,0
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. and the uncertainty about the future keeps me awake and makes my heart race with fear. and there was a lightness in my chest all day, like the world finally felt right. 😨😊😳",0,1,1,0,0,1
"I realized how deeply I care for them when they gently held my hand and didn't let go. Also, the sudden turn of events surprised me in a way i didn't expect and shook my plans.",0,0,0,1,0,1
"An unexpected confession left me stunned and I had to pause to process it. however, i feel an uneasy panic whenever i think about facing that situation again. and there was a lightness in my chest all day, like the world finally felt right. Also, i can't stand how they dismissed my feelings after everything i've done for them.",1,1,1,0,0,1
"My heart fills with affection whenever I remember our quiet conversations late at night., but even in the crowd i felt empty, like a sadness that sat beside me all day., but i was overwhelmed with happiness when my friends surprised me with that celebration. 😊❤️😢",0,0,1,1,1,0
I find myself avoiding places because I'm scared something bad will happen again. while a quiet sorrow has settled over me since the news and i can't seem to shake it off. and an unexpected confession left me stunned and i had to pause to process it. 😨😢😳,0,1,0,0,1,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks., but i can't stop smiling thinking about the wonderful time we had together last night. Also, the day felt heavy and every small thing reminded me of how lonely i've been feeling. 😊😢😳",0,0,1,0,1,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. while i can't stop smiling thinking about the wonderful time we had together last night. Also, i feel furious thinking about the way i was spoken to; it was humiliating and cruel.",1,0,1,0,0,1
"An unexpected confession left me stunned and I had to pause to process it. however, the uncertainty about the future keeps me awake and makes my heart race with fear. Also, my blood boils whenever i remember how they treated me that day.",1,1,0,0,0,1
"I feel completely connected and tender toward them in a way that surprises me. while the day felt heavy and every small thing reminded me of how lonely i've been feeling. however, i was overwhelmed with happiness when my friends surprised me with that celebration., but i am seething with anger at the injustice i had to witness today.",1,0,1,1,1,0
"Loving them makes even the hardest days feel bearable because of how they comfort me. however, a quiet sorrow has settled over me since the news and i can't seem to shake it off.",0,0,0,1,1,0
I realized how deeply I care for them when they gently held my hand and didn't let go. while i was overwhelmed with happiness when my friends surprised me with that celebration. while it hurts me deeply when someone i trusted betrays me without a second thought.,1,0,1,1,0,0
My blood boils whenever I remember how they treated me that day. and i find myself replaying that moment and it brings tears i can't hold back.,1,0,0,0,1,0
"Loving them makes even the hardest days feel bearable because of how they comfort me. and there was a lightness in my chest all day, like the world finally felt right., but i can't stand how they dismissed my feelings after everything i've done for them. 😤😊❤️",1,0,1,1,0,0
"I feel completely connected and tender toward them in a way that surprises me. while i was overwhelmed with happiness when my friends surprised me with that celebration., but i can't stand how they dismissed my feelings after everything i've done for them. 😤😊❤️",1,0,1,1,0,0
"I realized how deeply I care for them when they gently held my hand and didn't let go. and there was a lightness in my chest all day, like the world finally felt right. Also, i feel an uneasy panic whenever i think about facing that situation again.",0,1,1,1,0,0
"There is a warmth inside me every time I think about the kindness they show. while there was a lightness in my chest all day, like the world finally felt right. Also, i am seething with anger at the injustice i had to witness today. 😤😊❤️",1,0,1,1,0,0
The thought of losing my job terrifies me more than I can explain. and it hurts me deeply when someone i trusted betrays me without a second thought.,1,1,0,0,0,0
The thought of losing my job terrifies me more than I can explain. and i felt a deep ache in my chest remembering what we've lost and it wouldn't fade.,0,1,0,0,1,0
"I am seething with anger at the injustice I had to witness today., but even in the crowd i felt empty, like a sadness that sat beside me all day. while i'm genuinely frightened about the idea of walking home alone late at night after what happened.",1,1,0,0,1,0
Loving them makes even the hardest days feel bearable because of how they comfort me. and hearing their good news made my whole week brighter and i felt genuinely happy.,0,0,1,1,0,0
"The sudden turn of events surprised me in a way I didn't expect and shook my plans., but the thought of losing my job terrifies me more than i can explain. however, the small moments of warmth and laughter today filled me with a quiet joy.",0,1,1,0,0,1
"I'm genuinely frightened about the idea of walking home alone late at night after what happened., but even in the crowd i felt empty, like a sadness that sat beside me all day. however, i was completely taken aback by the unexpected message and it left me speechless. 😨😢😳",0,1,0,0,1,1
"I am seething with anger at the injustice I had to witness today., but a quiet sorrow has settled over me since the news and i can't seem to shake it off., but i realized how deeply i care for them when they gently held my hand and didn't let go.",1,0,0,1,1,0
"I realized how deeply I care for them when they gently held my hand and didn't let go. and a quiet sorrow has settled over me since the news and i can't seem to shake it off., but it hurts me deeply when someone i trusted betrays me without a second thought. 😤❤️😢",1,0,0,1,1,0
It hurts me deeply when someone I trusted betrays me without a second thought. while i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. 😤😢,1,0,0,0,1,0
I feel completely connected and tender toward them in a way that surprises me. and i find myself replaying that moment and it brings tears i can't hold back. and i can't stop smiling thinking about the wonderful time we had together last night. 😊❤️😢,0,0,1,1,1,0
"Loving them makes even the hardest days feel bearable because of how they comfort me., but i find myself replaying that moment and it brings tears i can't hold back. and i can't stop smiling thinking about the wonderful time we had together last night.",0,0,1,1,1,0
A surprising twist in the evening turned everything upside down and I was caught off guard. while i feel an uneasy panic whenever i think about facing that situation again. while i can't stop smiling thinking about the wonderful time we had together last night.,0,1,1,0,0,1
"I realized how deeply I care for them when they gently held my hand and didn't let go. and there was a lightness in my chest all day, like the world finally felt right. Also, i am seething with anger at the injustice i had to witness today.",1,0,1,1,0,0
I feel furious thinking about the way I was spoken to; it was humiliating and cruel. while loving them makes even the hardest days feel bearable because of how they comfort me. 😤❤️,1,0,0,1,0,0
"I feel completely connected and tender toward them in a way that surprises me., but hearing their good news made my whole week brighter and i felt genuinely happy. and it hurts me deeply when someone i trusted betrays me without a second thought.",1,0,1,1,0,0
"An unexpected confession left me stunned and I had to pause to process it. and the uncertainty about the future keeps me awake and makes my heart race with fear., but i was overwhelmed with happiness when my friends surprised me with that celebration. 😨😊😳",0,1,1,0,0,1
"I was completely taken aback by the unexpected message and it left me speechless., but the uncertainty about the future keeps me awake and makes my heart race with fear., but hearing their good news made my whole week brighter and i felt genuinely happy.",0,1,1,0,0,1
I'm genuinely frightened about the idea of walking home alone late at night after what happened. and it hurts me deeply when someone i trusted betrays me without a second thought. 😤😨,1,1,0,0,0,0
"An unexpected confession left me stunned and I had to pause to process it., but the uncertainty about the future keeps me awake and makes my heart race with fear. however, there was a lightness in my chest all day, like the world finally felt right. 😨😊😳",0,1,1,0,0,1
"I was completely taken aback by the unexpected message and it left me speechless. and there was a lightness in my chest all day, like the world finally felt right. Also, my heart fills with affection whenever i remember our quiet conversations late at night. 😊❤️😳",0,0,1,1,0,1
"The sudden turn of events surprised me in a way I didn't expect and shook my plans. however, i feel an uneasy panic whenever i think about facing that situation again. however, there was a lightness in my chest all day, like the world finally felt right.",0,1,1,0,0,1
The sudden turn of events surprised me in a way I didn't expect and shook my plans. while the uncertainty about the future keeps me awake and makes my heart race with fear. and the small moments of warmth and laughter today filled me with a quiet joy. 😨😊😳,0,1,1,0,0,1
I was completely taken aback by the unexpected message and it left me speechless. while i find myself avoiding places because i'm scared something bad will happen again. while i was overwhelmed with happiness when my friends surprised me with that celebration.,0,1,1,0,0,1
"I am seething with anger at the injustice I had to witness today. Also, i feel completely connected and tender toward them in a way that surprises me.",1,0,0,1,0,0
"My heart fills with affection whenever I remember our quiet conversations late at night., but even in the crowd i felt empty, like a sadness that sat beside me all day. while hearing their good news made my whole week brighter and i felt genuinely happy. 😊❤️😢",0,0,1,1,1,0
"I find myself avoiding places because I'm scared something bad will happen again. however, even in the crowd i felt empty, like a sadness that sat beside me all day., but i am seething with anger at the injustice i had to witness today. 😤😨😢",1,1,0,0,1,0
"I realized how deeply I care for them when they gently held my hand and didn't let go., but the day felt heavy and every small thing reminded me of how lonely i've been feeling. and hearing their good news made my whole week brighter and i felt genuinely happy.",0,0,1,1,1,0
"The thought of losing my job terrifies me more than I can explain. however, i felt a deep ache in my chest remembering what we've lost and it wouldn't fade. and i was completely taken aback by the unexpected message and it left me speechless. and i can't stand how they dismissed my feelings after everything i've done for them. 😤😨😢😳",1,1,0,0,1,1
"I realized how deeply I care for them when they gently held my hand and didn't let go. however, i find myself replaying that moment and it brings tears i can't hold back., but there was a lightness in my chest all day, like the world finally felt right. 😊❤️😢",0,0,1,1,1,0
"I realized how deeply I care for them when they gently held my hand and didn't let go., but i can't stop smiling thinking about the wonderful time we had together last night. Also, the uncertainty about the future keeps me awake and makes my heart race with fear.",0,1,1,1,0,0
"I was completely taken aback by the unexpected message and it left me speechless. while the uncertainty about the future keeps me awake and makes my heart race with fear., but the small moments of warmth and laughter today filled me with a quiet joy.",0,1,1,0,0,1
"There is a warmth inside me every time I think about the kindness they show. Also, hearing their good news made my whole week brighter and i felt genuinely happy. 😊❤️",0,0,1,1,0,0
I am seething with anger at the injustice I had to witness today. and i feel an uneasy panic whenever i think about facing that situation again. 😤😨,1,1,0,0,0,0
"There is a warmth inside me every time I think about the kindness they show. Also, it hurts me deeply when someone i trusted betrays me without a second thought. 😤❤️",1,0,0,1,0,0
"A surprising twist in the evening turned everything upside down and I was caught off guard. however, i'm genuinely frightened about the idea of walking home alone late at night after what happened. and hearing their good news made my whole week brighter and i felt genuinely happy. 😨😊😳",0,1,1,0,0,1
"The sudden turn of events surprised me in a way I didn't expect and shook my plans., but the uncertainty about the future keeps me awake and makes my heart race with fear. Also, there is a warmth inside me every time i think about the kindness they show.",0,1,0,1,0,1
"A surprising twist in the evening turned everything upside down and I was caught off guard. and i feel an uneasy panic whenever i think about facing that situation again. and there was a lightness in my chest all day, like the world finally felt right. 😨😊😳",0,1,1,0,0,1
"My heart fills with affection whenever I remember our quiet conversations late at night., but even in the crowd i felt empty, like a sadness that sat beside me all day. while the small moments of warmth and laughter today filled me with a quiet joy. 😊❤️😢",0,0,1,1,1,0
"The thought of losing my job terrifies me more than I can explain. and i find myself replaying that moment and it brings tears i can't hold back. however, i can't stand how they dismissed my feelings after everything i've done for them.",1,1,0,0,1,0
"I was completely taken aback by the unexpected message and it left me speechless. however, i feel an uneasy panic whenever i think about facing that situation again. Also, i am seething with anger at the injustice i had to witness today. 😤😨😳",1,1,0,0,0,1
"I realized how deeply I care for them when they gently held my hand and didn't let go. and even in the crowd i felt empty, like a sadness that sat beside me all day. however, hearing their good news made my whole week brighter and i felt genuinely happy.",0,0,1,1,1,0
I find myself avoiding places because I'm scared something bad will happen again. and i was completely taken aback by the unexpected message and it left me speechless. and i am seething with anger at the injustice i had to witness today. 😤😨😳,1,1,0,0,0,1
"Loving them makes even the hardest days feel bearable because of how they comfort me. while even in the crowd i felt empty, like a sadness that sat beside me all day. Also, i feel an uneasy panic whenever i think about facing that situation again. 😨❤️😢",0,1,0,1,1,0
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. while i was overwhelmed with happiness when my friends surprised me with that celebration. Also, i feel an uneasy panic whenever i think about facing that situation again.",0,1,1,0,0,1
"My heart fills with affection whenever I remember our quiet conversations late at night. and hearing their good news made my whole week brighter and i felt genuinely happy. however, my blood boils whenever i remember how they treated me that day.",1,0,1,1,0,0
"A surprising twist in the evening turned everything upside down and I was caught off guard. and i find myself avoiding places because i'm scared something bad will happen again. however, hearing their good news made my whole week brighter and i felt genuinely happy. 😨😊😳",0,1,1,0,0,1
"There is a warmth inside me every time I think about the kindness they show. and hearing their good news made my whole week brighter and i felt genuinely happy. however, i am seething with anger at the injustice i had to witness today. 😤😊❤️",1,0,1,1,0,0
"A surprising twist in the evening turned everything upside down and I was caught off guard., but i feel an uneasy panic whenever i think about facing that situation again. Also, hearing their good news made my whole week brighter and i felt genuinely happy. 😨😊😳",0,1,1,0,0,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. while i'm genuinely frightened about the idea of walking home alone late at night after what happened. Also, i am seething with anger at the injustice i had to witness today. 😤😨😳",1,1,0,0,0,1
"An unexpected confession left me stunned and I had to pause to process it. and the small moments of warmth and laughter today filled me with a quiet joy. Also, a quiet sorrow has settled over me since the news and i can't seem to shake it off.",0,0,1,0,1,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. and the thought of losing my job terrifies me more than i can explain. while there was a lightness in my chest all day, like the world finally felt right.",0,1,1,0,0,1
"I can't stand how they dismissed my feelings after everything I've done for them. while my heart fills with affection whenever i remember our quiet conversations late at night. Also, the day felt heavy and every small thing reminded me of how lonely i've been feeling. 😤❤️😢",1,0,0,1,1,0
"The thought of losing my job terrifies me more than I can explain. however, a quiet sorrow has settled over me since the news and i can't seem to shake it off., but i couldn't believe my eyes when i saw it; the surprise stopped me in my tracks. while it hurts me deeply when someone i trusted betrays me without a second thought. 😤😨😢😳",1,1,0,0,1,1
"The sudden turn of events surprised me in a way I didn't expect and shook my plans., but there was a lightness in my chest all day, like the world finally felt right. Also, a quiet sorrow has settled over me since the news and i can't seem to shake it off.",0,0,1,0,1,1
"I was completely taken aback by the unexpected message and it left me speechless. while there was a lightness in my chest all day, like the world finally felt right. Also, i am seething with anger at the injustice i had to witness today.",1,0,1,0,0,1
"The sudden turn of events surprised me in a way I didn't expect and shook my plans., but the uncertainty about the future keeps me awake and makes my heart race with fear. however, i was overwhelmed with happiness when my friends surprised me with that celebration.",0,1,1,0,0,1
I feel an uneasy panic whenever I think about facing that situation again. while an unexpected confession left me stunned and i had to pause to process it.,0,1,0,0,0,1
"I was completely taken aback by the unexpected message and it left me speechless., but the thought of losing my job terrifies me more than i can explain.",0,1,0,0,0,1
"I was completely taken aback by the unexpected message and it left me speechless. however, i feel an uneasy panic whenever i think about facing that situation again. and i can't stop smiling thinking about the wonderful time we had together last night.",0,1,1,0,0,1
"I feel furious thinking about the way I was spoken to; it was humiliating and cruel., but i find myself replaying that moment and it brings tears i can't hold back. however, the uncertainty about the future keeps me awake and makes my heart race with fear. 😤😨😢",1,1,0,0,1,0
"I was completely taken aback by the unexpected message and it left me speechless. and i find myself avoiding places because i'm scared something bad will happen again., but i was overwhelmed with happiness when my friends surprised me with that celebration. 😨😊😳",0,1,1,0,0,1
"I can't stand how they dismissed my feelings after everything I've done for them. and even in the crowd i felt empty, like a sadness that sat beside me all day. while i feel an uneasy panic whenever i think about facing that situation again. 😤😨😢",1,1,0,0,1,0
"I'm genuinely frightened about the idea of walking home alone late at night after what happened. however, i was completely taken aback by the unexpected message and it left me speechless. however, i can't stand how they dismissed my feelings after everything i've done for them.",1,1,0,0,0,1
It hurts me deeply when someone I trusted betrays me without a second thought. while i felt a deep ache in my chest remembering what we've lost and it wouldn't fade.,1,0,0,0,1,0
"The thought of losing my job terrifies me more than I can explain. however, a quiet sorrow has settled over me since the news and i can't seem to shake it off. and i feel furious thinking about the way i was spoken to; it was humiliating and cruel. 😤😨😢",1,1,0,0,1,0
I realized how deeply I care for them when they gently held my hand and didn't let go. while a quiet sorrow has settled over me since the news and i can't seem to shake it off. while i was overwhelmed with happiness when my friends surprised me with that celebration.,0,0,1,1,1,0
"I realized how deeply I care for them when they gently held my hand and didn't let go. and hearing their good news made my whole week brighter and i felt genuinely happy. Also, i find myself avoiding places because i'm scared something bad will happen again.",0,1,1,1,0,0
"I was completely taken aback by the unexpected message and it left me speechless. however, i feel an uneasy panic whenever i think about facing that situation again.",0,1,0,0,0,1
"I was completely taken aback by the unexpected message and it left me speechless., but i'm genuinely frightened about the idea of walking home alone late at night after what happened. however, i can't stop smiling thinking about the wonderful time we had together last night. 😨😊😳",0,1,1,0,0,1
"A surprising twist in the evening turned everything upside down and I was caught off guard., but i feel an uneasy panic whenever i think about facing that situation again., but the small moments of warmth and laughter today filled me with a quiet joy. 😨😊😳",0,1,1,0,0,1
"I'm genuinely frightened about the idea of walking home alone late at night after what happened. Also, i was overwhelmed with happiness when my friends surprised me with that celebration. 😨😊",0,1,1,0,0,0
The sudden turn of events surprised me in a way I didn't expect and shook my plans. and the uncertainty about the future keeps me awake and makes my heart race with fear.,0,1,0,0,0,1
"I feel completely connected and tender toward them in a way that surprises me., but a quiet sorrow has settled over me since the news and i can't seem to shake it off. however, i am seething with anger at the injustice i had to witness today.",1,0,0,1,1,0
"I realized how deeply I care for them when they gently held my hand and didn't let go., but a quiet sorrow has settled over me since the news and i can't seem to shake it off. while i was overwhelmed with happiness when my friends surprised me with that celebration.",0,0,1,1,1,0
"Loving them makes even the hardest days feel bearable because of how they comfort me. however, a quiet sorrow has settled over me since the news and i can't seem to shake it off. Also, the small moments of warmth and laughter today filled me with a quiet joy.",0,0,1,1,1,0
"I feel an uneasy panic whenever I think about facing that situation again., but a quiet sorrow has settled over me since the news and i can't seem to shake it off. and i couldn't believe my eyes when i saw it; the surprise stopped me in my tracks. while i can't stand how they dismissed my feelings after everything i've done for them. 😤😨😢😳",1,1,0,0,1,1
"The sudden turn of events surprised me in a way I didn't expect and shook my plans. and hearing their good news made my whole week brighter and i felt genuinely happy. Also, i find myself avoiding places because i'm scared something bad will happen again.",0,1,1,0,0,1
I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. and hearing their good news made my whole week brighter and i felt genuinely happy. 😊😳,0,0,1,0,0,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. and there was a lightness in my chest all day, like the world finally felt right. Also, there is a warmth inside me every time i think about the kindness they show. 😊❤️😳",0,0,1,1,0,1
"I feel completely connected and tender toward them in a way that surprises me. and a quiet sorrow has settled over me since the news and i can't seem to shake it off., but i was overwhelmed with happiness when my friends surprised me with that celebration.",0,0,1,1,1,0
I feel furious thinking about the way I was spoken to; it was humiliating and cruel. and the day felt heavy and every small thing reminded me of how lonely i've been feeling. while i'm genuinely frightened about the idea of walking home alone late at night after what happened. 😤😨😢,1,1,0,0,1,0
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. however, i'm genuinely frightened about the idea of walking home alone late at night after what happened. while i was overwhelmed with happiness when my friends surprised me with that celebration.",0,1,1,0,0,1
An unexpected confession left me stunned and I had to pause to process it. while i find myself avoiding places because i'm scared something bad will happen again. and i can't stop smiling thinking about the wonderful time we had together last night. 😨😊😳,0,1,1,0,0,1
"I find myself avoiding places because I'm scared something bad will happen again. while even in the crowd i felt empty, like a sadness that sat beside me all day., but the sudden turn of events surprised me in a way i didn't expect and shook my plans.",0,1,0,0,1,1
The thought of losing my job terrifies me more than I can explain. and i can't stand how they dismissed my feelings after everything i've done for them. 😤😨,1,1,0,0,0,0
"There is a warmth inside me every time I think about the kindness they show. Also, the small moments of warmth and laughter today filled me with a quiet joy.",0,0,1,1,0,0
"A surprising twist in the evening turned everything upside down and I was caught off guard., but the uncertainty about the future keeps me awake and makes my heart race with fear. while hearing their good news made my whole week brighter and i felt genuinely happy.",0,1,1,0,0,1
"The uncertainty about the future keeps me awake and makes my heart race with fear., but a quiet sorrow has settled over me since the news and i can't seem to shake it off., but i was completely taken aback by the unexpected message and it left me speechless.",0,1,0,0,1,1
"I realized how deeply I care for them when they gently held my hand and didn't let go. however, even in the crowd i felt empty, like a sadness that sat beside me all day. and hearing their good news made my whole week brighter and i felt genuinely happy. 😊❤️😢",0,0,1,1,1,0
"The sudden turn of events surprised me in a way I didn't expect and shook my plans., but i'm genuinely frightened about the idea of walking home alone late at night after what happened. Also, i can't stand how they dismissed my feelings after everything i've done for them. 😤😨😳",1,1,0,0,0,1
"An unexpected confession left me stunned and I had to pause to process it. and i feel an uneasy panic whenever i think about facing that situation again. however, the small moments of warmth and laughter today filled me with a quiet joy.",0,1,1,0,0,1
"I feel completely connected and tender toward them in a way that surprises me. Also, hearing their good news made my whole week brighter and i felt genuinely happy.",0,0,1,1,0,0
"I was completely taken aback by the unexpected message and it left me speechless. and i'm genuinely frightened about the idea of walking home alone late at night after what happened. Also, the day felt heavy and every small thing reminded me of how lonely i've been feeling.",0,1,0,0,1,1
"The sudden turn of events surprised me in a way I didn't expect and shook my plans. Also, hearing their good news made my whole week brighter and i felt genuinely happy.",0,0,1,0,0,1
"An unexpected confession left me stunned and I had to pause to process it. however, hearing their good news made my whole week brighter and i felt genuinely happy. Also, the day felt heavy and every small thing reminded me of how lonely i've been feeling.",0,0,1,0,1,1
I was completely taken aback by the unexpected message and it left me speechless. and the small moments of warmth and laughter today filled me with a quiet joy. 😊😳,0,0,1,0,0,1
"I was completely taken aback by the unexpected message and it left me speechless. and the thought of losing my job terrifies me more than i can explain., but i was overwhelmed with happiness when my friends surprised me with that celebration.",0,1,1,0,0,1
"I was completely taken aback by the unexpected message and it left me speechless. however, the small moments of warmth and laughter today filled me with a quiet joy. 😊😳",0,0,1,0,0,1
"A surprising twist in the evening turned everything upside down and I was caught off guard., but the thought of losing my job terrifies me more than i can explain. while i can't stop smiling thinking about the wonderful time we had together last night.",0,1,1,0,0,1
"The sudden turn of events surprised me in a way I didn't expect and shook my plans. however, the uncertainty about the future keeps me awake and makes my heart race with fear.",0,1,0,0,0,1
"I'm genuinely frightened about the idea of walking home alone late at night after what happened. however, a surprising twist in the evening turned everything upside down and i was caught off guard. 😨😳",0,1,0,0,0,1
